Marca temporal,¿Qué tan claro lo encontró?,Qué tan complicado lo encontró?,¿Qué nota le pondría a la nueva forma de votar?,¿Dentro de qué rango está su edad?,Observado por encuestador/a: Sexo de persona encuestada,
15/12/2019 12:03:43,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:04:10,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:04:16,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:04:19,Muy claro,Poco complicado,6,Entre 61 y 70,Mujer,
15/12/2019 12:04:30,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:04:44,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 12:05:36,Poco claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:06:02,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:06:03,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:06:13,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:06:17,Muy claro,Nada complicado,6,Entre 41 y 50,Hombre,
15/12/2019 12:06:33,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:06:46,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:07:07,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:07:17,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:07:54,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:08:30,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:08:31,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 12:08:38,Muy claro,Nada complicado,6,Entre 41 y 50,Mujer,
15/12/2019 12:08:54,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:08:57,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 12:09:26,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 12:09:55,Muy claro,Nada complicado,6,71 o más,Mujer,
15/12/2019 12:10:04,Muy claro,Nada complicado,6,Entre 41 y 50,Mujer,
15/12/2019 12:10:42,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:11:03,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 12:11:19,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:11:39,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:12:41,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 12:13:13,Muy claro,Poco complicado,5,Entre 21 y 30,Mujer,
15/12/2019 12:13:51,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:13:53,Poco claro,Poco complicado,6,Entre 61 y 70,Mujer,
15/12/2019 12:15:07,Poco claro,Poco complicado,6,Entre 15 y 20 años,Mujer,
15/12/2019 12:15:12,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 12:15:20,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:15:24,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:15:36,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 12:16:28,Muy claro,Poco complicado,6,Entre 61 y 70,Mujer,
15/12/2019 12:16:47,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:17:06,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 12:17:25,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 12:17:32,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:20:15,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:20:45,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:21:10,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:21:23,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:21:57,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:22:09,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:22:22,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:22:22,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:22:27,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 12:23:01,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 12:23:25,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:23:31,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:23:49,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:24:45,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:24:48,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 12:25:25,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:26:45,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:27:05,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:27:12,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:27:50,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:27:58,Muy claro,Poco complicado,5,Entre 21 y 30,Hombre,
15/12/2019 12:29:03,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:29:25,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:29:55,Muy claro,Poco complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:30:19,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:30:27,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:30:48,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 12:32:21,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:33:08,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:33:27,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 12:33:52,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 12:33:53,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:34:26,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:34:38,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:34:48,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:34:53,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:35:26,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:36:08,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 12:36:24,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:36:33,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 12:36:36,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:36:55,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 12:36:59,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:37:03,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:37:24,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:37:53,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:38:26,Poco claro,Nada complicado,6,71 o más,Hombre,
15/12/2019 12:39:05,Muy claro,Nada complicado,6,71 o más,Hombre,
15/12/2019 12:39:20,Muy claro,Nada complicado,6,71 o más,Mujer,
15/12/2019 12:39:22,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 12:39:31,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 12:40:27,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:40:53,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:40:56,Poco claro,Nada complicado,6,Entre 41 y 50,Mujer,
15/12/2019 12:41:24,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 12:41:46,Muy claro,Poco complicado,6,Entre 41 y 50,Hombre,
15/12/2019 12:41:48,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:42:11,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:42:23,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:42:42,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 12:42:53,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 12:43:04,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 12:43:19,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:43:28,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:43:47,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 12:44:08,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 12:44:11,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 12:44:22,Muy claro,Poco complicado,6,Entre 21 y 30,Mujer,
15/12/2019 12:44:23,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 12:44:33,Muy claro,Nada complicado,7,Entre 31 y 40,Otro,
15/12/2019 12:44:47,Muy claro,Poco complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 12:44:55,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:45:18,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:45:55,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 12:47:02,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:47:03,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 12:47:19,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:47:32,Muy claro,Poco complicado,6,Entre 51 y 60,Hombre,
15/12/2019 12:47:39,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:47:49,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:48:12,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 12:49:03,Muy claro,Poco complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 12:49:32,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 12:50:02,Muy claro,Nada complicado,6,Entre 51 y 60,Mujer,
15/12/2019 12:50:22,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 12:51:33,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:51:44,Muy claro,Nada complicado,6,Entre 41 y 50,Mujer,
15/12/2019 12:52:07,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:52:26,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 12:53:46,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 12:54:04,Muy claro,Poco complicado,7,Entre 51 y 60,Mujer,
15/12/2019 12:54:44,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 12:55:07,Muy claro,Nada complicado,6,Entre 51 y 60,Mujer,
15/12/2019 12:55:23,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 12:55:31,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:55:46,Muy claro,Poco complicado,5,71 o más,Mujer,
15/12/2019 12:55:56,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 12:56:28,Muy claro,Poco complicado,7,Entre 21 y 30,Hombre,
15/12/2019 12:56:32,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 12:57:15,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 12:57:26,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 12:57:31,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 12:57:59,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 12:58:35,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 12:58:51,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 12:59:43,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 13:00:26,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:01:18,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 13:01:34,Muy claro,Poco complicado,6,Entre 41 y 50,Hombre,
15/12/2019 13:01:44,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 13:02:51,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 13:02:54,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:03:14,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:03:42,Muy claro,Nada complicado,6,Entre 15 y 20 años,Mujer,
15/12/2019 13:03:45,Poco claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 13:03:58,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 13:04:08,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 13:04:12,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 13:04:34,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 13:04:34,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 13:04:35,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 13:06:27,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 13:07:50,Muy claro,Nada complicado,6,Entre 61 y 70,Hombre,
15/12/2019 13:08:52,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 13:09:18,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 13:09:43,Muy claro,Nada complicado,6,Entre 61 y 70,Mujer,
15/12/2019 13:10:27,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 13:10:34,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:12:42,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 13:13:16,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:14:35,Muy claro,Poco complicado,6,Entre 21 y 30,Hombre,
15/12/2019 13:15:06,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 13:15:22,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 13:16:30,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 13:17:11,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:17:43,Muy claro,Nada complicado,6,Entre 15 y 20 años,Mujer,
15/12/2019 13:20:06,Muy claro,Nada complicado,6,Entre 51 y 60,Hombre,
15/12/2019 13:20:17,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 13:20:30,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:21:03,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 13:21:35,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 13:22:19,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 13:22:35,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 13:25:14,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 13:25:57,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:25:58,Muy claro,Nada complicado,6,Entre 41 y 50,Hombre,
15/12/2019 13:26:48,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 13:29:54,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:30:52,Muy claro,Nada complicado,6,Entre 61 y 70,Hombre,
15/12/2019 13:31:16,Muy claro,Nada complicado,5,71 o más,Mujer,
15/12/2019 13:33:20,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 13:33:48,Poco claro,Poco complicado,5,Entre 41 y 50,Hombre,
15/12/2019 13:33:49,Muy claro,Nada complicado,5,Entre 21 y 30,Hombre,
15/12/2019 13:34:12,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:34:43,Muy claro,Nada complicado,6,Entre 41 y 50,Hombre,
15/12/2019 13:36:14,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 13:37:53,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:38:05,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:38:21,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 13:38:58,Muy claro,Nada complicado,5,Entre 21 y 30,Hombre,
15/12/2019 13:38:58,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 13:39:45,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 13:41:38,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 13:41:44,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 13:41:54,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 13:42:11,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:42:21,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:42:56,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 13:43:52,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:44:06,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 13:44:08,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:44:43,Muy claro,Nada complicado,7,71 o más,Mujer,
15/12/2019 13:45:04,Muy claro,Nada complicado,7,71 o más,Hombre,
15/12/2019 13:45:34,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:45:48,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 13:46:15,Muy claro,Poco complicado,6,Entre 21 y 30,Mujer,
15/12/2019 13:47:01,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 13:47:06,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 13:47:41,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 13:48:11,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 13:49:21,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 13:50:05,Muy claro,Nada complicado,5,Entre 51 y 60,Hombre,
15/12/2019 13:50:42,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 13:52:04,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 13:54:17,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 13:54:30,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 13:54:51,Muy claro,Nada complicado,5,Entre 15 y 20 años,Hombre,
15/12/2019 13:55:17,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 13:56:26,Muy claro,Nada complicado,6,Entre 31 y 40,Hombre,
15/12/2019 13:56:27,Muy claro,Nada complicado,5,Entre 31 y 40,Mujer,
15/12/2019 13:57:15,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 13:57:58,Poco claro,Poco complicado,6,Entre 15 y 20 años,Mujer,
15/12/2019 13:58:01,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 13:59:53,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 14:00:19,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 14:00:23,Muy claro,Nada complicado,5,Entre 31 y 40,Mujer,
15/12/2019 14:00:29,Poco claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 14:03:05,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 14:04:59,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 14:06:07,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 14:07:25,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 14:08:08,Muy claro,Nada complicado,6,Entre 41 y 50,Hombre,
15/12/2019 14:11:32,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 14:11:56,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 14:12:04,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 14:12:14,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 14:12:30,Poco claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 14:12:37,Muy claro,Nada complicado,7,Entre 61 y 70,Mujer,
15/12/2019 14:12:40,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 14:12:40,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 14:13:22,Poco claro,Nada complicado,5,Entre 31 y 40,Mujer,
15/12/2019 14:15:38,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 14:16:03,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 14:16:56,Muy claro,Nada complicado,4,Entre 21 y 30,Hombre,
15/12/2019 14:17:03,Muy claro,Nada complicado,6,71 o más,Hombre,
15/12/2019 14:17:21,Muy claro,Nada complicado,5,Entre 21 y 30,Mujer,
15/12/2019 14:17:49,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 14:18:14,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 14:19:13,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 14:20:42,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 14:20:42,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 14:21:14,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 14:21:49,Muy claro,Nada complicado,5,Entre 21 y 30,Hombre,
15/12/2019 14:22:36,Muy claro,Nada complicado,7,Entre 21 y 30,Hombre,
15/12/2019 14:23:52,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 14:24:04,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 14:24:40,Muy claro,Nada complicado,7,Entre 41 y 50,Mujer,
15/12/2019 14:24:57,Muy claro,Nada complicado,7,Entre 61 y 70,Hombre,
15/12/2019 14:25:11,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 14:25:24,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 14:25:48,Muy claro,Nada complicado,6,Entre 31 y 40,Mujer,
15/12/2019 14:25:52,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 14:26:54,Muy claro,Nada complicado,6,Entre 21 y 30,Mujer,
15/12/2019 14:27:49,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 14:28:46,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 14:28:49,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 14:28:55,Muy claro,Nada complicado,5,Entre 31 y 40,Mujer,
15/12/2019 14:29:30,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 14:30:50,Muy claro,Nada complicado,6,Entre 21 y 30,Hombre,
15/12/2019 14:30:51,Muy claro,Poco complicado,6,Entre 21 y 30,Hombre,
15/12/2019 14:31:08,Muy claro,Nada complicado,7,Entre 21 y 30,Mujer,
15/12/2019 14:32:12,Muy claro,Nada complicado,7,Entre 21 y 30,Otro,
15/12/2019 14:32:16,Muy claro,Nada complicado,7,Entre 51 y 60,Mujer,
15/12/2019 14:32:17,Muy claro,Nada complicado,7,Entre 21 y 30,Otro,
15/12/2019 14:33:07,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 14:37:01,Muy claro,Nada complicado,7,Entre 51 y 60,Hombre,
15/12/2019 14:37:21,Muy claro,Nada complicado,7,Entre 31 y 40,Hombre,
15/12/2019 14:38:20,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 14:38:38,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,
15/12/2019 14:40:10,Muy claro,Nada complicado,7,Entre 15 y 20 años,Hombre,
15/12/2019 14:41:34,Muy claro,Nada complicado,7,Entre 31 y 40,Mujer,
15/12/2019 14:45:34,Muy claro,Nada complicado,6,Entre 41 y 50,Hombre,
15/12/2019 14:46:08,Muy claro,Nada complicado,7,Entre 15 y 20 años,Mujer,
15/12/2019 14:47:02,Muy claro,Nada complicado,7,Entre 41 y 50,Hombre,